model,obs_no,used_in_diagnostics,Date,arma_resid,egarchx_cond_vol,egarchx_std_resid,abs_egarchx_std_resid,devaluation_20100211_dummy,crisis_dummy,vix_change,us10y_change,dxy_return,oil_return,vnindex_return
ARMA32_EGARCHX_t_signed_shocks_lag1,2126,True,2018-07-23,0.6770040428685087,0.06333337082985589,10.689531190235703,10.689531190235703,0,0,-0.2400000000000002,0.0699999999999998,0.2220686023605367,-3.4878001646419854,0.3582642472122366
ARMA32_EGARCHX_t_signed_shocks_lag1,1386,True,2015-08-12,0.8343087819173014,0.08869315175516156,9.406687725117946,9.406687725117946,0,0,-0.1000000000000014,-0.0099999999999997,-1.0643332330368516,0.2548362319696906,-1.4475028673203385
ARMA32_EGARCHX_t_signed_shocks_lag1,308,True,2011-04-26,-1.189459442119671,0.14989247675378553,-7.935417893410926,7.935417893410926,0,0,-0.1500000000000003,-0.0500000000000002,-0.2029379466180536,0.0358102062913978,-0.8108035965386229
ARMA32_EGARCHX_t_signed_shocks_lag1,2317,True,2019-04-26,0.2980544557673624,0.03775574110769367,7.894281691284995,7.894281691284995,0,0,-0.5199999999999996,-0.0300000000000002,-0.1936648206322111,-3.019214702079065,0.564039227537716
ARMA32_EGARCHX_t_signed_shocks_lag1,3081,True,2022-05-11,0.47045873749162787,0.06447541821534589,7.296714787026435,7.296714787026435,0,1,-0.4299999999999997,-0.08,-0.0673819113478302,5.614415279814455,0.6142388170186308
ARMA32_EGARCHX_t_signed_shocks_lag1,2952,True,2021-11-04,-0.29624598412818887,0.04396958205585296,-6.737521037882015,6.737521037882015,0,0,0.3399999999999998,-0.07,0.5206938772963632,-2.429674935594761,0.2793297905612668
ARMA32_EGARCHX_t_signed_shocks_lag1,1427,True,2015-10-09,-1.0087730938808142,0.15742140242730793,-6.4081063840517665,6.4081063840517665,0,0,-0.3400000000000034,0.0,-0.5364785849595322,0.4236867025988911,0.2110998400555175
ARMA32_EGARCHX_t_signed_shocks_lag1,136,True,2010-08-18,1.73980708492564,0.27415627202991094,6.346041518743091,6.346041518743091,0,1,0.2600000000000015,0.0,-0.0121643489989331,-0.4895808654212352,-1.7475771458833833
ARMA32_EGARCHX_t_abs_shocks_lag1,6,False,2010-02-11,2.009600380245262,0.10008812778896538,20.07830923246442,20.07830923246442,1,1,-1.4399999999999975,0.0099999999999997,-0.0499948971374841,1.0019454603318323,1.8227279617483385
ARMA32_EGARCHX_t_abs_shocks_lag1,258,True,2011-02-11,0.7892995332218726,0.05328635995185162,14.812412293409915,14.812412293409915,0,1,-0.4000000000000003,-0.06,0.2680099692429216,-1.2365464042009222,-0.048067218121961
ARMA32_EGARCHX_t_abs_shocks_lag1,2126,True,2018-07-23,0.6770040428685087,0.060415877033858235,11.205730614306939,11.205730614306939,0,0,-0.2400000000000002,0.0699999999999998,0.2220686023605367,-3.4878001646419854,0.3582642472122366
ARMA32_EGARCHX_t_abs_shocks_lag1,1386,True,2015-08-12,0.8343087819173014,0.09124646597941136,9.143464055972895,9.143464055972895,0,0,-0.1000000000000014,-0.0099999999999997,-1.0643332330368516,0.2548362319696906,-1.4475028673203385
ARMA32_EGARCHX_t_abs_shocks_lag1,308,True,2011-04-26,-1.189459442119671,0.14631380303598615,-8.129509434097077,8.129509434097077,0,0,-0.1500000000000003,-0.0500000000000002,-0.2029379466180536,0.0358102062913978,-0.8108035965386229
ARMA32_EGARCHX_t_abs_shocks_lag1,2317,True,2019-04-26,0.2980544557673624,0.03797238608416028,7.849242212663907,7.849242212663907,0,0,-0.5199999999999996,-0.0300000000000002,-0.1936648206322111,-3.019214702079065,0.564039227537716
ARMA32_EGARCHX_t_abs_shocks_lag1,3081,True,2022-05-11,0.47045873749162787,0.06274794010743824,7.4975965216722535,7.4975965216722535,0,1,-0.4299999999999997,-0.08,-0.0673819113478302,5.614415279814455,0.6142388170186308
ARMA32_EGARCHX_t_abs_shocks_lag1,136,True,2010-08-18,1.73980708492564,0.2591594675314807,6.713268480976105,6.713268480976105,0,1,0.2600000000000015,0.0,-0.0121643489989331,-0.4895808654212352,-1.7475771458833833
ARMA32_EGARCHX_t_abs_shocks_lag1,2952,True,2021-11-04,-0.29624598412818887,0.04588712033178324,-6.455972438152697,6.455972438152697,0,0,0.3399999999999998,-0.07,0.5206938772963632,-2.429674935594761,0.2793297905612668
ARMA32_EGARCHX_t_abs_shocks_lag1,3766,True,2025-02-03,0.9147832476759105,0.1545920251913772,5.917402573279277,5.917402573279277,0,0,2.1900000000000013,-0.04,0.5704792021586691,0.9292223188023918,-0.9547028924841604
ARMA32_EGARCHX_t_signed_shocks_lag1_plus_devaluation,258,True,2011-02-11,0.7892995332218726,0.04798900220919604,16.447508739213184,16.447508739213184,0,1,-0.4000000000000003,-0.06,0.2680099692429216,-1.2365464042009222,-0.048067218121961
ARMA32_EGARCHX_t_signed_shocks_lag1_plus_devaluation,2126,True,2018-07-23,0.6770040428685087,0.0628148585763671,10.777769117245432,10.777769117245432,0,0,-0.2400000000000002,0.0699999999999998,0.2220686023605367,-3.4878001646419854,0.3582642472122366
ARMA32_EGARCHX_t_signed_shocks_lag1_plus_devaluation,1386,True,2015-08-12,0.8343087819173014,0.09252833534175722,9.016792302982081,9.016792302982081,0,0,-0.1000000000000014,-0.0099999999999997,-1.0643332330368516,0.2548362319696906,-1.4475028673203385
ARMA32_EGARCHX_t_signed_shocks_lag1_plus_devaluation,308,True,2011-04-26,-1.189459442119671,0.1485971924806734,-8.004588931075345,8.004588931075345,0,0,-0.1500000000000003,-0.0500000000000002,-0.2029379466180536,0.0358102062913978,-0.8108035965386229
ARMA32_EGARCHX_t_signed_shocks_lag1_plus_devaluation,2317,True,2019-04-26,0.2980544557673624,0.03952375064505971,7.54114806674143,7.54114806674143,0,0,-0.5199999999999996,-0.0300000000000002,-0.1936648206322111,-3.019214702079065,0.564039227537716
ARMA32_EGARCHX_t_signed_shocks_lag1_plus_devaluation,3081,True,2022-05-11,0.47045873749162787,0.0645971818891043,7.282960707160212,7.282960707160212,0,1,-0.4299999999999997,-0.08,-0.0673819113478302,5.614415279814455,0.6142388170186308
ARMA32_EGARCHX_t_signed_shocks_lag1_plus_devaluation,136,True,2010-08-18,1.73980708492564,0.2649372299622947,6.566865235109636,6.566865235109636,0,1,0.2600000000000015,0.0,-0.0121643489989331,-0.4895808654212352,-1.7475771458833833
ARMA32_EGARCHX_t_signed_shocks_lag1_plus_devaluation,2952,True,2021-11-04,-0.29624598412818887,0.04618438162458495,-6.414419197733519,6.414419197733519,0,0,0.3399999999999998,-0.07,0.5206938772963632,-2.429674935594761,0.2793297905612668
ARMA32_EGARCHX_t_signed_shocks_lag1_plus_devaluation,1427,True,2015-10-09,-1.0087730938808142,0.16806354738449908,-6.002331318003917,6.002331318003917,0,0,-0.3400000000000034,0.0,-0.5364785849595322,0.4236867025988911,0.2110998400555175
ARMA32_EGARCHX_t_signed_shocks_lag1_plus_devaluation,3367,True,2023-07-03,0.5334152206642444,0.09893553823379239,5.391543121782414,5.391543121782414,0,1,-0.0199999999999995,0.0499999999999998,0.0777019962041158,-1.353586243269156,0.4737994685089397
ARMA32_EGARCHX_t_abs_shocks_lag1_plus_devaluation,258,True,2011-02-11,0.7892995332218726,0.05380731849298155,14.668999595748787,14.668999595748787,0,1,-0.4000000000000003,-0.06,0.2680099692429216,-1.2365464042009222,-0.048067218121961
ARMA32_EGARCHX_t_abs_shocks_lag1_plus_devaluation,2126,True,2018-07-23,0.6770040428685087,0.05873334629003104,11.52674052531242,11.52674052531242,0,0,-0.2400000000000002,0.0699999999999998,0.2220686023605367,-3.4878001646419854,0.3582642472122366
ARMA32_EGARCHX_t_abs_shocks_lag1_plus_devaluation,1386,True,2015-08-12,0.8343087819173014,0.09497700420491645,8.784324046663432,8.784324046663432,0,0,-0.1000000000000014,-0.0099999999999997,-1.0643332330368516,0.2548362319696906,-1.4475028673203385
ARMA32_EGARCHX_t_abs_shocks_lag1_plus_devaluation,308,True,2011-04-26,-1.189459442119671,0.14385733599396672,-8.268326629999294,8.268326629999294,0,0,-0.1500000000000003,-0.0500000000000002,-0.2029379466180536,0.0358102062913978,-0.8108035965386229
ARMA32_EGARCHX_t_abs_shocks_lag1_plus_devaluation,2317,True,2019-04-26,0.2980544557673624,0.03983387588088422,7.482436724426182,7.482436724426182,0,0,-0.5199999999999996,-0.0300000000000002,-0.1936648206322111,-3.019214702079065,0.564039227537716
ARMA32_EGARCHX_t_abs_shocks_lag1_plus_devaluation,3081,True,2022-05-11,0.47045873749162787,0.06350851575417255,7.407805581737572,7.407805581737572,0,1,-0.4299999999999997,-0.08,-0.0673819113478302,5.614415279814455,0.6142388170186308
ARMA32_EGARCHX_t_abs_shocks_lag1_plus_devaluation,136,True,2010-08-18,1.73980708492564,0.25191531896676617,6.906317138876193,6.906317138876193,0,1,0.2600000000000015,0.0,-0.0121643489989331,-0.4895808654212352,-1.7475771458833833
ARMA32_EGARCHX_t_abs_shocks_lag1_plus_devaluation,2952,True,2021-11-04,-0.29624598412818887,0.04776422760055454,-6.202256353973773,6.202256353973773,0,0,0.3399999999999998,-0.07,0.5206938772963632,-2.429674935594761,0.2793297905612668
ARMA32_EGARCHX_t_abs_shocks_lag1_plus_devaluation,3766,True,2025-02-03,0.9147832476759105,0.14967609001149684,6.111752702824109,6.111752702824109,0,0,2.1900000000000013,-0.04,0.5704792021586691,0.9292223188023918,-0.9547028924841604
ARMA32_EGARCHX_t_abs_shocks_lag1_plus_devaluation,1427,True,2015-10-09,-1.0087730938808142,0.18185648223237028,-5.547083510566519,5.547083510566519,0,0,-0.3400000000000034,0.0,-0.5364785849595322,0.4236867025988911,0.2110998400555175
